guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
wmonroe@stewart.com,False,BASIC,25.01,26 Jun 2020,29 Jun 2020,114.35,"12906 Gregory Creek
Obrienland, AK 14047",4821889109737689
nicholsonjoanne@watson.net,False,SUITE,27.51,19 Aug 2020,23 Aug 2020,268.16,"63517 Hernandez Squares Apt. 982
Davidview, NH 09163",30240040028009
hodgeskari@duffy.biz,True,DELUXE,0.0,08 Apr 2020,11 Apr 2020,222.55,"103 Marie Street
East Jonathan, OH 98726",2349865661751281
ibarradonald@williams-wade.info,False,BASIC,28.02,09 Jun 2020,11 Jun 2020,125.06,"5678 Office Road
San Francisco, CA 94103",3556805154473395
garciadarlene@ali.com,False,BASIC,32.25,01 Jan 2021,05 Jan 2021,105.42,"1234 Corporate Drive
Boston, MA 02116",4153708178750118
mackenzie40@hanson.com,False,DELUXE,28.18,04 Feb 2020,09 Feb 2020,185.08,"390 Robert Drives Suite 902
New Karen, AR 64353",180017311857920
andrewmartinez@white.com,False,BASIC,26.14,13 Sep 2020,17 Sep 2020,111.27,"4322 Wilson Squares
Matthewchester, HI 85123",4016023549459142452
sjones@cole.com,True,BASIC,0.0,09 May 2020,10 May 2020,143.57,"9324 Hernandez Rapid Apt. 929
East Erin, ID 77139",4847818679193
ylowe@evans.com,False,BASIC,11.62,16 Aug 2020,19 Aug 2020,118.04,"1234 Corporate Drive
Boston, MA 02116",2294477661503079
phillip50@murphy-lamb.info,False,BASIC,,13 Oct 2020,15 Oct 2020,292.5,"41459 Sarah Ranch
Floresview, ND 01693",180064426198428
christophercarter@murphy-matthews.com,False,SUITE,31.68,05 Jun 2020,08 Jun 2020,288.73,"USNS Rodriguez
FPO AP 12664",3556723727485418
russell00@meyer.com,False,SUITE,10.28,10 Mar 2020,11 Mar 2020,272.76,"PSC 2727, Box 8564
APO AP 86157",2669631248945594
thorntonbryan@johnson-hicks.org,False,DELUXE,22.87,25 Jun 2020,26 Jun 2020,187.99,"003 Schultz Extension
Williamport, IA 16397",3599849235456515
jonathan56@chandler.com,False,BASIC,28.04,12 Oct 2020,13 Oct 2020,153.1,"Unit 6443 Box 3520
DPO AP 62277",4462406877117731
holtebony@boyd.com,False,BASIC,28.45,28 Dec 2020,29 Dec 2020,115.79,"437 Margaret Ferry Suite 768
Scottport, RI 86472",349391012165075
joneskristin@taylor.com,False,BASIC,32.9,09 Jan 2020,11 Jan 2020,108.81,"1234 Corporate Drive
Boston, MA 02116",4461033775093730
nicole40@cherry.net,True,BASIC,0.0,16 Jan 2020,17 Jan 2020,115.45,"23146 Ramirez Cliffs Apt. 766
West Bobbyview, TX 19066",180095407605742
craiglawson@wilson.com,False,BASIC,23.72,20 Jul 2020,21 Jul 2020,120.34,"463 Simmons Forks
Port Eric, VA 11253",38651500078643
umercado@thomas.info,False,BASIC,,14 Jun 2020,17 Jun 2020,165.96,"8302 Nathaniel Pike
Rileyland, TX 71613",38416070843739
tatebethany@reynolds-sweeney.com,False,BASIC,20.5,22 Dec 2020,24 Dec 2020,118.66,"225 Helen Expressway Suite 021
Emilyburgh, DC 79691",2273379952126518
noahvargas@gallegos.net,False,SUITE,25.64,05 Jan 2020,07 Jan 2020,251.15,"0549 Lynn Hill
Simmonsland, MI 00790",372770926213149
allenpowell@cook.com,False,BASIC,28.73,24 Aug 2020,27 Aug 2020,144.23,"Unit 4836 Box 7023
DPO AP 35520",676148456368
sandra35@johnson.com,False,BASIC,9.1,05 Jun 2020,07 Jun 2020,103.07,"1234 Corporate Drive
Boston, MA 02116",38440331525190
gordonandrew@davis.com,False,BASIC,30.12,16 May 2020,18 May 2020,193.57,"71901 Jackson Rue
Patrickchester, OH 47113",213137436802238
qwilson@williams.com,False,BASIC,11.22,27 Sep 2020,28 Sep 2020,224.13,"77 Massachusetts Ave
Cambridge, MA 02139",213173894511136
brightjessica@evans.net,False,BASIC,24.93,10 Mar 2020,12 Mar 2020,113.1,"1234 Corporate Drive
Boston, MA 02116",3552531732620281
lance88@snow-rodriguez.net,False,DELUXE,27.41,16 Oct 2020,19 Oct 2020,181.27,"42400 Bryan View Apt. 310
Garciaside, NY 01999",213100856267969
lauren01@adams-booth.com,False,BASIC,15.81,30 Jan 2020,02 Feb 2020,104.97,"6535 Andre Mountain Suite 741
Melaniestad, VA 73781",372933357404500
thuff@gonzales-turner.com,False,BASIC,11.88,06 Oct 2020,08 Oct 2020,148.07,"1234 Corporate Drive
Boston, MA 02116",180095059590051
olynch@johnson-flores.info,False,BASIC,7.95,07 Feb 2020,13 Feb 2020,116.41,"Unit 4836 Box 7023
DPO AP 35520",587204144410
erichancock@stevenson.com,False,BASIC,14.6,22 Oct 2020,24 Oct 2020,111.04,"1234 Corporate Drive
Boston, MA 02116",30024532098062
shellysanders@may.org,False,BASIC,1.62,08 May 2020,,115.75,"49000 Johnson Cliffs Apt. 103
Jeremiahmouth, VA 47676",38440114662640
abigail37@wheeler.com,False,BASIC,18.49,20 May 2020,21 May 2020,262.15,"5678 Office Road
San Francisco, CA 94103",180015045859238
courtneyclark@young.com,False,BASIC,19.12,03 May 2020,06 May 2020,128.42,"77 Massachusetts Ave
Cambridge, MA 02139",4549468928629
dpennington@colon.org,False,BASIC,18.73,17 Dec 2020,19 Dec 2020,142.34,"7602 John Mill Apt. 258
Dustinbury, DE 85141",4666313723276
johnshannon@torres.com,False,BASIC,8.63,30 Dec 2020,31 Dec 2020,143.68,"77 Massachusetts Ave
Cambridge, MA 02139",4985421083146672550
myersmonica@jacobs.net,False,BASIC,10.45,04 Feb 2020,,155.61,"216 Stephanie Islands
Elainechester, DE 62055",4997172877158950
jvillarreal@cortez.info,False,BASIC,35.24,30 Jul 2020,01 Aug 2020,158.05,"34567 Nicholas Light
Hollyton, SC 33623",4411850363237942055
brittany47@joseph.com,False,BASIC,21.93,27 Nov 2020,30 Nov 2020,109.87,"047 Wood Spur Apt. 718
East Katrinaside, NC 99656",213115290031599
nford@hull.com,False,BASIC,12.33,22 Dec 2020,23 Dec 2020,116.2,"20185 Devin Junction Suite 985
New Damonshire, PA 92492",4687341156413122
jeffmcgee@griffin.com,False,SUITE,32.28,25 Mar 2020,31 Mar 2020,259.39,"787 Macias Village
North Thomasfurt, IA 83225",4241673115783198
rwebster@hicks.com,False,BASIC,21.66,07 Apr 2020,11 Apr 2020,109.86,"7874 Joshua Hills Apt. 837
Fullerfort, HI 81547",372955946988099
melissa09@bryan.com,False,BASIC,0.72,15 Feb 2020,17 Feb 2020,162.9,"1234 Corporate Drive
Boston, MA 02116",4491757306201
deborah36@escobar.net,False,BASIC,,15 Jan 2020,17 Jan 2020,112.16,"PSC 8213, Box 6869
APO AP 90929",3579007539433433
munozbeth@knox-howell.com,False,BASIC,20.11,18 Dec 2020,19 Dec 2020,118.56,"5678 Office Road
San Francisco, CA 94103",3580413909844349
blewis@mills.com,False,BASIC,,22 Aug 2020,24 Aug 2020,110.05,"4584 Barton Lock Apt. 572
South Mariaburgh, SD 73807",6011949938610104
erika24@gregory.com,False,BASIC,19.07,16 Dec 2020,18 Dec 2020,111.1,"77 Massachusetts Ave
Cambridge, MA 02139",180032330097168
david55@marshall.org,False,BASIC,19.0,04 Nov 2020,06 Nov 2020,144.18,"74489 Simmons Trail
Valdezstad, GA 17568",341355228072233
smithlaura@cox.org,False,BASIC,5.13,04 Dec 2020,08 Dec 2020,112.87,"726 Riley Course
Lake Oliviastad, CO 74863",6011643216990045
lisa92@lee.com,False,BASIC,34.09,04 Jun 2020,05 Jun 2020,112.4,"1025 Christopher Park Suite 699
East Tanyachester, MA 41757",6511354105782676
rhondaharding@morgan.info,True,BASIC,0.0,08 May 2020,09 May 2020,112.9,"250 Nicole Ramp
Lyonsview, OK 87183",6564242690472975
moorejason@hill.net,False,DELUXE,28.63,17 Nov 2020,20 Nov 2020,208.13,"2213 Morgan View Apt. 260
Jamesville, NM 91998",36569835461700
omartin@simmons.com,False,BASIC,13.52,27 Mar 2020,29 Mar 2020,144.36,"6078 Henry Passage Apt. 109
Mccartyberg, KS 32014",6594752414460290
wendysaunders@miller.com,False,BASIC,,16 Nov 2020,17 Nov 2020,123.83,"5678 Office Road
San Francisco, CA 94103",569933702650
thomas44@graham.com,False,DELUXE,,27 May 2020,29 May 2020,178.48,"1234 Corporate Drive
Boston, MA 02116",6576602748020280
dmcdaniel@owens.com,False,BASIC,7.64,17 Feb 2020,20 Feb 2020,137.72,"961 Garcia Brook Apt. 841
Lake Mackenzieside, ID 35690",3503411381423842
michael54@soto.com,False,BASIC,18.59,31 Mar 2020,04 Apr 2020,133.06,"5678 Office Road
San Francisco, CA 94103",6528592436769653
jjohnson@miller.com,False,BASIC,37.29,19 Mar 2020,22 Mar 2020,155.6,"6982 James Point
Lake Timothy, MA 16791",4003165645292
dylanrobertson@williams.com,True,BASIC,0.0,19 Dec 2020,21 Dec 2020,88.62,"1234 Corporate Drive
Boston, MA 02116",4465897140001
renee45@jennings.info,False,DELUXE,,21 Dec 2020,22 Dec 2020,424.84,"27819 Jillian Street Suite 431
West Kimbury, CO 74361",4251675636023801863
patricknancy@good.com,False,BASIC,10.39,25 Jul 2020,27 Jul 2020,105.86,"43132 Neal Port
Port Ashleyport, MO 33779",566409227600
pwaters@lewis.com,False,BASIC,16.38,27 Dec 2020,31 Dec 2020,141.55,"77 Massachusetts Ave
Cambridge, MA 02139",6011877890909802
amanda14@klein-mcconnell.net,False,BASIC,15.13,12 Jul 2020,13 Jul 2020,121.03,"0629 Elizabeth Brook
Hansonton, AZ 30055",36988276304577
castrojeffrey@clark.com,False,DELUXE,26.68,01 Jan 2021,04 Jan 2021,187.34,"7807 Jessica Plaza
New David, MI 57970",502017290318
nathanwhite@nielsen.com,False,BASIC,18.63,24 Dec 2020,27 Dec 2020,145.43,"64885 Tapia Passage Suite 661
South Williamburgh, UT 73113",3510478677464500
zliu@moran-hernandez.com,False,BASIC,25.82,30 Jun 2020,02 Jul 2020,115.16,"300 Logan Alley
West Markport, NE 43825",213166103570232
bryan94@jennings-reyes.com,True,DELUXE,0.0,09 Mar 2020,10 Mar 2020,141.94,"922 Karen Inlet
Theresachester, DE 47978",38883115614070
robert55@mueller-ramos.com,False,DELUXE,,20 Nov 2020,22 Nov 2020,181.25,"USNV Shaw
FPO AA 48544",2636340729859940
michael40@ryan.com,False,BASIC,,15 Apr 2020,16 Apr 2020,131.74,"77 Massachusetts Ave
Cambridge, MA 02139",3564844736823694
karen49@mercado.net,False,BASIC,9.87,29 Mar 2020,03 Apr 2020,288.29,"16527 Marie Overpass
South Alyssa, IL 55658",4710904336341196934
albertperez@james-simmons.com,False,BASIC,37.26,29 Mar 2020,04 Apr 2020,104.57,"77 Massachusetts Ave
Cambridge, MA 02139",4667086053372516920
valerie82@allen-parsons.biz,False,BASIC,18.67,21 Jan 2020,22 Jan 2020,119.75,"82025 Cameron Island
Mariahmouth, FL 66939",3518001769438406
jaywheeler@pratt.com,True,DELUXE,0.0,01 Jun 2020,04 Jun 2020,225.69,"27260 Amy Grove Suite 845
Bensonborough, PA 57129",4189467192702831
shelly69@casey.net,True,DELUXE,0.0,26 Aug 2020,27 Aug 2020,176.85,"1234 Corporate Drive
Boston, MA 02116",4245269298343508
cynthia01@knight.com,True,BASIC,0.0,02 Feb 2020,04 Feb 2020,93.8,"77 Massachusetts Ave
Cambridge, MA 02139",36211721763911
regina91@fleming.com,False,BASIC,17.6,02 Jan 2021,03 Jan 2021,104.85,"9525 Adkins Valleys Apt. 059
Michaelfort, UT 59519",4074459116174971
heatherbrowning@brewer-hopkins.com,False,BASIC,,10 Jun 2020,11 Jun 2020,103.38,"00536 Brittany Ways Suite 827
North Emily, NJ 05837",370602888794885
michaelwilliams@ball.com,False,BASIC,23.92,04 Aug 2020,08 Aug 2020,109.51,"10048 Thompson Ville Apt. 960
Andrewbury, MA 76648",4785111951051
bryanmack@hansen.com,False,BASIC,28.18,27 Nov 2020,28 Nov 2020,113.9,"77 Massachusetts Ave
Cambridge, MA 02139",30548109696965
smithjennifer@davis.com,False,BASIC,34.95,05 Mar 2020,06 Mar 2020,102.12,"221 Lopez Bypass Suite 004
Benjaminchester, ME 19764",4650088697745024
rebeccamoreno@ross-davenport.biz,False,BASIC,17.88,09 Aug 2020,11 Aug 2020,103.69,"1234 Corporate Drive
Boston, MA 02116",3587892115731460
sarah92@jenkins-jackson.org,False,BASIC,12.84,29 Aug 2020,31 Aug 2020,127.21,"77 Massachusetts Ave
Cambridge, MA 02139",4347482390461898184
kimberlycarrillo@taylor-johnston.com,False,BASIC,11.93,27 Mar 2020,30 Mar 2020,113.34,"5678 Office Road
San Francisco, CA 94103",5184481252880751
christina23@townsend-jenkins.com,False,BASIC,21.07,13 Mar 2020,14 Mar 2020,109.44,"10048 Thompson Ville Apt. 960
Andrewbury, MA 76648",2296676199868502
zstevens@becker.com,False,BASIC,17.78,06 Aug 2020,07 Aug 2020,113.36,"1234 Corporate Drive
Boston, MA 02116",213139140382523
xgreene@rodriguez-wood.net,True,BASIC,0.0,10 Nov 2020,12 Nov 2020,88.91,"77 Massachusetts Ave
Cambridge, MA 02139",6011754475721284
christineperry@carlson.com,False,BASIC,20.87,15 Jun 2020,,150.78,"645 Sarah Loop
Richardsburgh, WV 88541",4278092252202
sarasanchez@curry.com,False,BASIC,25.62,28 Jan 2020,31 Jan 2020,203.54,"502 Grant Spring Apt. 915
Patriciaport, VA 24312",4500509902359766
coxdiana@brewer.com,False,DELUXE,17.06,13 Sep 2020,15 Sep 2020,334.75,"5678 Office Road
San Francisco, CA 94103",676328017378
william39@cole-whitehead.biz,False,SUITE,17.25,18 May 2020,21 May 2020,290.85,"295 Armstrong Mall Apt. 768
Lake Robert, VT 59217",6011256591603404
bushandrew@freeman-fox.info,False,BASIC,24.35,05 Jun 2020,08 Jun 2020,142.4,"5678 Office Road
San Francisco, CA 94103",370173796345194
knightjose@rodgers.com,False,BASIC,48.12,20 Nov 2020,22 Nov 2020,186.76,"5722 Rachel Cape
East Taylor, NC 73091",3558131351596781
kenneth46@kim-taylor.com,False,BASIC,22.52,09 Jun 2020,12 Jun 2020,214.26,"719 Tammy Cove Suite 832
Gregoryville, WV 39515",30278005957051
oburgess@graves.info,False,BASIC,21.33,27 Aug 2020,29 Aug 2020,186.94,"48130 Dougherty Mews
Lake Brendaland, CO 39494",3546683304217167
scoleman@golden-cole.org,True,SUITE,0.0,09 Jul 2020,12 Jul 2020,267.51,"918 Andrew Club
South Elaineburgh, VA 71836",4654744543680874
vickie49@garcia.com,False,BASIC,,19 Dec 2020,22 Dec 2020,110.65,"862 Mueller Creek Apt. 492
Whiteland, WY 55940",213196157892554
juanwatson@chung.org,True,SUITE,0.0,20 Feb 2020,21 Feb 2020,204.06,"5678 Office Road
San Francisco, CA 94103",4432016585990225
zacharyobrien@bailey-jones.org,False,BASIC,18.02,10 Sep 2020,11 Sep 2020,148.29,"08424 Jared Locks
New Margaretville, NV 61123",378967236052803
cindy15@graves.com,False,BASIC,44.58,30 Sep 2020,01 Oct 2020,118.29,"7874 Joshua Hills Apt. 837
Fullerfort, HI 81547",30199212440998
anthonybond@nguyen-white.info,False,BASIC,31.04,30 Jul 2020,01 Aug 2020,119.0,"24740 Hart Port Apt. 837
Donnaton, GA 07999",4749975942425522
mariabaird@hooper.org,False,BASIC,38.82,28 Feb 2020,01 Mar 2020,108.25,"7387 Armstrong Dale
Martinhaven, LA 76404",4121896256427227
alisonblackburn@houston.info,True,SUITE,0.0,11 Jun 2020,12 Jun 2020,205.47,"41538 Kevin Court Suite 962
Port Aaronburgh, OH 90832",4591626894657
samuelbrown@smith.com,True,BASIC,0.0,27 Sep 2020,28 Sep 2020,161.63,"77 Massachusetts Ave
Cambridge, MA 02139",2278369833354665
wuanna@lee-berry.biz,False,BASIC,30.7,30 Jun 2020,03 Jul 2020,131.98,"9280 Laura Prairie Suite 706
Romerochester, MD 18961",30414181522878
ramirezelizabeth@sullivan.com,False,BASIC,21.67,20 Nov 2020,23 Nov 2020,106.92,"5678 Office Road
San Francisco, CA 94103",3537935255557566
leefrancis@rodriguez.biz,False,BASIC,14.29,31 May 2020,01 Jun 2020,129.68,"1234 Corporate Drive
Boston, MA 02116",4411263398291038
zpatterson@beltran-perez.com,False,BASIC,22.66,19 Feb 2020,22 Feb 2020,127.26,"347 Thompson Prairie Suite 657
East Michelleport, PA 68731",343625472210731
vfloyd@conrad-lee.net,False,BASIC,13.61,02 May 2020,05 May 2020,133.85,"5678 Office Road
San Francisco, CA 94103",372698791605265
ibush@perry-jordan.com,False,BASIC,13.46,22 Sep 2020,25 Sep 2020,287.4,"6409 Navarro Mountain Apt. 363
North Davidbury, NV 71685",345194634715234
johnkoch@burke.biz,False,BASIC,19.46,14 Jan 2020,15 Jan 2020,119.4,"74861 Teresa Passage
Port Judith, NC 60578",4480929158863
blakemichael@elliott.info,False,BASIC,33.15,11 Oct 2020,14 Oct 2020,105.59,"77 Massachusetts Ave
Cambridge, MA 02139",4257690684249055
robertoortega@lamb-hall.com,False,BASIC,23.51,02 Sep 2020,04 Sep 2020,120.83,"5678 Office Road
San Francisco, CA 94103",676297351519
howellmaria@williams-fletcher.org,False,DELUXE,36.27,12 Jun 2020,14 Jun 2020,185.52,"5678 Office Road
San Francisco, CA 94103",213102468590853
longbianca@fletcher.com,False,BASIC,21.22,21 Jul 2020,22 Jul 2020,134.76,"1234 Corporate Drive
Boston, MA 02116",4680185259803409923
hammonddonna@austin-stewart.com,False,BASIC,,24 Apr 2020,27 Apr 2020,124.79,"20184 Johnston Stravenue
Williamberg, WA 79350",180019235123355
samanthacraig@stuart.com,False,BASIC,,15 Nov 2020,16 Nov 2020,128.4,"5678 Office Road
San Francisco, CA 94103",4501453483101314
christopherlane@knight.com,False,BASIC,11.28,06 Jul 2020,07 Jul 2020,111.39,"65278 Jessica Park Apt. 006
Chaveztown, ME 95080",4021904113272082
robertomorris@long.com,True,SUITE,0.0,07 Dec 2020,10 Dec 2020,230.38,"77 Massachusetts Ave
Cambridge, MA 02139",561674411369
lisageorge@sherman.com,True,DELUXE,0.0,06 Nov 2020,09 Nov 2020,152.06,"5678 Office Road
San Francisco, CA 94103",6567697554048087
shannonwilliams@wilson-kennedy.com,False,BASIC,36.19,11 Nov 2020,14 Nov 2020,133.69,"Unit 5157 Box 0618
DPO AA 28688",30538794273535
nicole04@brewer.info,False,BASIC,25.13,19 Apr 2020,22 Apr 2020,114.86,"25564 Foster Mountains
Aliciatown, NJ 85758",4503955668743
bbrown@newton.com,False,BASIC,,16 Nov 2020,17 Nov 2020,106.56,"114 Hansen Gateway Apt. 540
New Angela, VT 46975",577278307001
brandondodson@washington-melendez.com,False,BASIC,1.34,31 Jan 2020,03 Feb 2020,133.07,"5678 Office Road
San Francisco, CA 94103",345725782065177
watsonlaura@mosley.biz,False,BASIC,22.83,19 Apr 2020,24 Apr 2020,109.91,"77 Massachusetts Ave
Cambridge, MA 02139",501828617636
kathystuart@smith.com,False,BASIC,19.53,23 Dec 2020,24 Dec 2020,185.1,"49487 Castillo Summit Apt. 010
Charlesshire, NY 30110",572922559412
colleenharvey@barnett.com,False,BASIC,26.17,08 Apr 2020,09 Apr 2020,131.28,"1234 Corporate Drive
Boston, MA 02116",6011247658549580
obrienbrenda@gentry.biz,False,BASIC,11.62,25 Feb 2020,27 Feb 2020,132.06,"5678 Office Road
San Francisco, CA 94103",3554356011481199
shannon70@stewart-brown.org,False,BASIC,17.92,30 Aug 2020,31 Aug 2020,122.23,"4274 Haynes Alley Apt. 017
North Sharon, AZ 71154",501800374396
dustin75@pierce.com,False,BASIC,19.85,18 Jun 2020,21 Jun 2020,118.93,"5678 Office Road
San Francisco, CA 94103",30167012906153
dterry@steele-guerrero.com,False,BASIC,22.88,29 Jun 2020,30 Jun 2020,101.85,"20185 Devin Junction Suite 985
New Damonshire, PA 92492",30032234828710
nthomas@robles-davis.com,True,DELUXE,0.0,31 Dec 2020,01 Jan 2021,208.18,"46181 Aguilar Passage Suite 916
Lake Phillip, NC 25168",4020522638259623
taylormary@howard.biz,False,SUITE,32.64,13 Jul 2020,18 Jul 2020,258.9,"00536 Brittany Ways Suite 827
North Emily, NJ 05837",4099662733177
